keyword,title,description,originallink,link,pubDate
테스트,서울시 환경상 30주년…기후테크 ‘와이즈앤드이롭’ 대상 영예,또한 서울시 테스트베드 사업을 통해 실제 건축물에 기술을 적용해 실효성과 확산 가능성도 입증했다. 최우수상은 부문별로 한 팀씩 선정됐다. △건물에너지 분야에서 한국투자증권 △기후테크 분야그린다... ,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202606251412357930785,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202606251412357930785,2026-06-25
테스트,"삼성, '하이브리드 본딩 우위' 정량 입증…HBM4E 열 관리 우세","실제 테스트 칩 실험을 통해 TCB 대비 HCB의 열 관리 우위를 체계적으로 실증했다. 칩/패키지 시뮬레이션... 또한 실리콘 인터포저 위에 HCB와 TCB 기반 HBM 테스트 차량을 ASIC 테스트 차량과 함께 실장한 후, 실제... ",https://www.etnews.com/20260625000266,https://n.news.naver.com/mnews/article/030/0003441451?sid=105,2026-06-25
테스트,"삼성, 갤럭시 A07용 One UI 9.0 개발 착수 정황 포착","삼성 서버에서 One UI 9.0이 적용된 갤럭시 A07용 테스트 펌웨어가 발견되면서, 해당 기기가 차세대 안드로이드 기반 업데이트를 받을 가능성이 높아졌다.  소식통에 따르면 갤럭시 A07의 One UI 9.0 테스트 펌웨어... ",https://news.appstory.co.kr/daily19276,https://news.appstory.co.kr/daily19276,2026-06-25
테스트,"[바이오USA]이상훈 에이비엘바이오 대표 &quot;ABL111, 올 12월 임상 3상 진입...","끝나는 것이 아니라 뉴런 안으로 들어가야 하기 때문에 훨씬 어렵다&quot;고 말했다. 이어 &quot;siRNA용으로 변형된 BBB 셔틀을 개발하고 있으며, 올해 말쯤 일부 인비보 테스트를 진행할 수 있을 것으로 본다&quot;고 설명했다.",https://daily.hankooki.com/news/articleView.html?idxno=1379901,https://daily.hankooki.com/news/articleView.html?idxno=1379901,2026-06-25
테스트,"CJ푸드빌 뚜레쥬르, 올디스타코와 맞손…MZ세대 공략",뚜레쥬르 본점은 브랜드의 제품 경쟁력과 고객 경험을 집약해 선보이는 테스트베드로서 새로운 제품과 콘셉트를 가장 먼저 선보이고 소비자 반응을 검증하는 역할을 수행하고 있다. CJ푸드빌 관계자는 &quot;앞으로도 맛과... ,https://www.cnbizm.com/news/articleView.html?idxno=306660,https://www.cnbizm.com/news/articleView.html?idxno=306660,2026-06-25
테스트,"크래프톤 신작 '프로젝트 제타', 첫 글로벌 커뮤니티 테스트 돌입",크래프톤이 퍼블리싱하는 신작 PC 온라인 게임 '프로젝트 제타(Project ZETA)'가 글로벌 이용자들을 대상으로 첫 번째 커뮤니티 테스트를 개시했다고 25일 밝혔다. 오는 28일까지 나흘간 진행되는 이번 테스트는 스팀... ,https://www.cnbizm.com/news/articleView.html?idxno=306659,https://www.cnbizm.com/news/articleView.html?idxno=306659,2026-06-25
테스트,"㈜이앤씨 R&amp;D센터, 비타민 고함량 기초 화장품 개발 및 특허 출원 추진","㈜이앤씨에 따르면 해당 제품은 검사 대상의 성분량을 추정하는 필수 검사인 역가 테스트도 통과했다. 회사... 역가 테스트를 통과했다. 현재는 비타민C 60%가 함유된 고함량 제품 개발을 진행 중이며, 하반기 완료를... ",http://www.segyebiz.com/newsView/20260625516143?OutUrl=naver,http://www.segyebiz.com/newsView/20260625516143?OutUrl=naver,2026-06-25
테스트,&quot;2040년 신항 중심은 경남&quot;…경남 국비 확보·항만 자치권 확보 총력,"도는 경남의 주력 산업 육성을 위해 제조 AI 로보틱스 밸리와 조선해양 피지컬 AI 실증 테스트필드 구축, 우주항공용 기능소재 국산화 기술개발, SMR(소형모듈원전) 제조부품 시험검사 지원센터 건립 등 기술 혁신 사업에... ",https://www.nocutnews.co.kr/news/6538793?utm_source=naver&utm_medium=article&utm_campaign=20260625045553,https://n.news.naver.com/mnews/article/079/0004161854?sid=102,2026-06-25
테스트,"[오늘의 겜업] 엔씨·넷마블·넥슨, 대형 업데이트 경쟁…스토브·크래...","크래프톤이 퍼블리싱하는 신작 '프로젝트 제타'는 6월 28일까지 글로벌 커뮤니티 테스트를 실시하며, 신규 히어로 '미카 미스트'를 처음 공개했다. 테스트는 한국을 비롯한 북미·유럽 등 글로벌 이용자를 대상으로... ",http://www.kdfnews.com/news/articleView.html?idxno=184572,http://www.kdfnews.com/news/articleView.html?idxno=184572,2026-06-25
테스트,"엔씨, 중국 관문 뚫었다…리니지2M 앱스토어 1위·서버 증설","엔씨는 외자 판호를 획득한 이후 약 5만명 규모의 비공개 베타 테스트(CBT)를 진행하며 중국 서비스를 준비해왔다. 이용자 피드백을 반영해 사용자환경(UI)·사용자경험(UX)을 개선하고 파티 던전 시스템 개편, 캐릭터... ",https://www.s-journal.co.kr/news/articleView.html?idxno=42011,https://www.s-journal.co.kr/news/articleView.html?idxno=42011,2026-06-25
